"datetime","stream_height_ft","date"
2019-04-04 02:59:18,0.101916991907138,2019-04-04
2019-04-04 05:58:19,0.100500779801209,2019-04-04
2019-04-04 08:59:21,0.099083636589359,2019-04-04
2019-04-04 11:54:19,0.099002630374227,2019-04-04
2019-04-04 14:55:20,0.0989188308413318,2019-04-04
2019-04-04 20:59:21,0.0987503006696204,2019-04-04
2019-04-04 23:59:59,0.0986665011367251,2019-04-04
2019-04-05 00:00:00,0.0986636172580047,2019-04-05
2019-04-05 02:59:53,0.0983335393744591,2019-04-05
2019-04-05 06:00:08,0.097999752750649,2019-04-05
2019-04-05 09:02:23,0.0976622573865744,2019-04-05
2019-04-05 12:00:38,0.0979988255655829,2019-04-05
2019-04-05 12:58:44,0.0992245642230189,2019-04-05
2019-04-05 14:32:54,0.101050191618247,2019-04-05
2019-04-05 17:29:13,0.106056990975399,2019-04-05
2019-04-05 20:59:33,0.107667511435282,2019-04-05
2019-04-05 23:59:59,0.110004017801953,2019-04-05
2019-04-06 00:00:00,0.109998293012213,2019-04-06
2019-04-06 02:14:37,0.111875358855387,2019-04-06
2019-04-06 02:32:50,0.119191818873078,2019-04-06
2019-04-06 02:40:53,0.119184370199097,2019-04-06
2019-04-06 05:21:47,0.119702053040766,2019-04-06
2019-04-06 05:56:00,0.121670365140206,2019-04-06
2019-04-06 08:53:01,0.123506463276485,2019-04-06
2019-04-06 12:02:14,0.133331264257228,2019-04-06
2019-04-06 15:01:27,0.146498657686876,2019-04-06
2019-04-06 18:02:35,0.154330938377741,2019-04-06
2019-04-06 21:01:39,0.15883179963067,2019-04-06
2019-04-06 23:59:59,0.162664142393818,2019-04-06
2019-04-07 00:00:00,0.160893854748603,2019-04-07
2019-04-07 03:00:30,0.164916201117318,2019-04-07
2019-04-07 06:01:00,0.169608938547486,2019-04-07
2019-04-07 06:31:05,0.172290502793296,2019-04-07
2019-04-07 07:17:13,0.176312849162011,2019-04-07
2019-04-07 08:25:24,0.179664804469274,2019-04-07
2019-04-07 09:01:30,0.187039106145251,2019-04-07
2019-04-07 12:00:00,0.22927374301676,2019-04-07
2019-04-07 13:30:15,0.244692737430168,2019-04-07
2019-04-07 15:04:31,0.246703910614525,2019-04-07
2019-04-07 18:03:01,0.250055865921788,2019-04-07
2019-04-07 21:01:30,0.251396648044693,2019-04-07
2019-04-07 23:59:59,0.251396648044693,2019-04-07
2019-04-08 12:00:00,NA,2019-04-08
2019-04-09 00:00:00,NA,2019-04-09
2019-04-09 12:00:00,NA,2019-04-09
2019-04-10 00:00:00,NA,2019-04-10
2019-04-10 12:00:00,NA,2019-04-10
2019-04-11 00:00:00,NA,2019-04-11
2019-04-11 12:00:00,NA,2019-04-11
2019-04-12 00:00:00,NA,2019-04-12
2019-04-12 12:00:00,NA,2019-04-12
2019-04-13 00:00:00,NA,2019-04-13
2019-04-13 12:00:00,NA,2019-04-13
2019-04-14 00:00:00,NA,2019-04-14
2019-04-14 12:00:00,NA,2019-04-14
2019-04-15 00:00:00,NA,2019-04-15
2019-04-15 12:00:00,NA,2019-04-15
2019-04-16 00:00:00,NA,2019-04-16
2019-04-16 12:00:00,NA,2019-04-16
2019-04-17 00:00:00,NA,2019-04-17
2019-04-17 12:00:00,NA,2019-04-17
2019-04-18 00:00:00,NA,2019-04-18
2019-04-18 12:00:00,NA,2019-04-18
2019-04-19 00:00:00,NA,2019-04-19
2019-04-19 12:00:00,NA,2019-04-19
2019-04-20 00:00:00,NA,2019-04-20
2019-04-20 12:00:00,NA,2019-04-20
2019-04-21 00:00:00,NA,2019-04-21
2019-04-21 12:00:00,NA,2019-04-21
2019-04-22 00:00:00,NA,2019-04-22
2019-04-22 12:00:00,NA,2019-04-22
2019-04-23 00:00:00,0.288513513513514,2019-04-23
2019-04-23 14:55:44,0.289189189189189,2019-04-23
2019-04-23 17:58:30,0.289189189189189,2019-04-23
2019-04-23 20:57:14,0.289189189189189,2019-04-23
2019-04-23 23:59:59,0.285135135135135,2019-04-23
2019-04-24 00:00:00,0.282000167129367,2019-04-24
2019-04-24 03:00:04,0.278583300062209,2019-04-24
